Record ID,Action,Reservation UID,Property ID,Check-in Date,Check-out Date,Entry Type,Entry Source,Status,Last Updated,Full Record JSON
rec00DoZ7DglMvQQH,MARK_AS_OLD,1418fb94e984-e887ffdee3082f5be91296e8ff8fa98c@airbnb.com_recmELb3Ma5DYjOjj,recmELb3Ma5DYjOjj,2025-09-24,2025-09-29,Reservation,Airbnb,New,2025-07-17T09:26:29.117Z,"{""id"": ""rec00DoZ7DglMvQQH"", ""createdTime"": ""2025-07-07T03:02:51.000Z"", ""fields"": {""Check-in Date"": ""2025-09-24"", ""Check-out Date"": ""2025-09-29"", ""Status"": ""New"", ""Last Updated"": ""2025-07-17T09:26:29.117Z"", ""Reservation UID"": ""1418fb94e984-e887ffdee3082f5be91296e8ff8fa98c@airbnb.com_recmELb3Ma5DYjOjj"", ""Entry Type"": ""Reservation"", ""Entry Source"": ""Airbnb"", ""Property ID"": [""recmELb3Ma5DYjOjj""]}}"
rec01TrKa9P6jICgH,MARK_AS_OLD,96a979a0-ae99-49fe-8d07-86433aa20684@reservations.hospitable.com_recXnZXfPm2owtZJB,recXnZXfPm2owtZJB,2025-05-24,2025-05-29,Reservation,Hospitable,New,2025-06-10T09:08:18.000Z,"{""id"": ""rec01TrKa9P6jICgH"", ""createdTime"": ""2025-06-10T09:08:19.000Z"", ""fields"": {""Check-in Date"": ""2025-05-24"", ""Check-out Date"": ""2025-05-29"", ""Status"": ""New"", ""Last Updated"": ""2025-06-10T09:08:18.000Z"", ""Reservation UID"": ""96a979a0-ae99-49fe-8d07-86433aa20684@reservations.hospitable.com_recXnZXfPm2owtZJB"", ""Entry Type"": ""Reservation"", ""Entry Source"": ""Hospitable"", ""Property ID"": [""recXnZXfPm2owtZJB""]}}"
recPlpxXrG5sfTQrh,MARK_AS_OLD,5c9f5880-e2a4-4c07-a5f1-a68382e9c54c@reservations.hospitable.com_recXnZXfPm2owtZJB,recXnZXfPm2owtZJB,2025-05-20,2025-05-24,Reservation,Hospitable,New,2025-06-10T09:08:17.000Z,"{""id"": ""recPlpxXrG5sfTQrh"", ""createdTime"": ""2025-06-10T09:08:19.000Z"", ""fields"": {""Check-in Date"": ""2025-05-20"", ""Check-out Date"": ""2025-05-24"", ""Status"": ""New"", ""Last Updated"": ""2025-06-10T09:08:17.000Z"", ""Reservation UID"": ""5c9f5880-e2a4-4c07-a5f1-a68382e9c54c@reservations.hospitable.com_recXnZXfPm2owtZJB"", ""Entry Type"": ""Reservation"", ""Entry Source"": ""Hospitable"", ""Property ID"": [""recXnZXfPm2owtZJB""]}}"
rec0XVdVymZUO2iXa,MARK_AS_OLD,1418fb94e984-64aad0c29c6961cab0b21d03efd2b2df@airbnb.com_recsXjyUWy0EmtFlj,recsXjyUWy0EmtFlj,2025-09-19,2025-09-22,Reservation,Airbnb,New,2025-07-17T09:26:29.117Z,"{""id"": ""rec0XVdVymZUO2iXa"", ""createdTime"": ""2025-07-01T07:02:09.000Z"", ""fields"": {""Check-in Date"": ""2025-09-19"", ""Check-out Date"": ""2025-09-22"", ""Status"": ""New"", ""Last Updated"": ""2025-07-17T09:26:29.117Z"", ""Reservation UID"": ""1418fb94e984-64aad0c29c6961cab0b21d03efd2b2df@airbnb.com_recsXjyUWy0EmtFlj"", ""Entry Type"": ""Reservation"", ""Entry Source"": ""Airbnb"", ""Property ID"": [""recsXjyUWy0EmtFlj""]}}"
rec0onhADHneHRu08,MARK_AS_OLD,0e928e24-a51d-46fb-9116-165f8a17dbdb_rec92D6nYVBZRfuMd,rec92D6nYVBZRfuMd,2025-05-17,2025-05-24,Reservation,VRBO,New,2025-07-17T09:26:29.117Z,"{""id"": ""rec0onhADHneHRu08"", ""createdTime"": ""2025-07-15T03:04:04.000Z"", ""fields"": {""Check-in Date"": ""2025-05-17"", ""Check-out Date"": ""2025-05-24"", ""Status"": ""New"", ""Last Updated"": ""2025-07-17T09:26:29.117Z"", ""Reservation UID"": ""0e928e24-a51d-46fb-9116-165f8a17dbdb_rec92D6nYVBZRfuMd"", ""Entry Type"": ""Reservation"", ""Entry Source"": ""VRBO"", ""Property ID"": [""rec92D6nYVBZRfuMd""]}}"
recF9t1LtiuQ3rLL2,MARK_AS_OLD,945def11-2be9-4c92-9612-4e6ea1515757_rec1bhKWibntvwIRn,rec1bhKWibntvwIRn,2025-05-14,2025-05-19,Block,VRBO,New,2025-06-10T09:07:59.000Z,"{""id"": ""recF9t1LtiuQ3rLL2"", ""createdTime"": ""2025-06-10T09:08:01.000Z"", ""fields"": {""Check-in Date"": ""2025-05-14"", ""Check-out Date"": ""2025-05-19"", ""Status"": ""New"", ""Last Updated"": ""2025-06-10T09:07:59.000Z"", ""Reservation UID"": ""945def11-2be9-4c92-9612-4e6ea1515757_rec1bhKWibntvwIRn"", ""Entry Type"": ""Block"", ""Entry Source"": ""VRBO"", ""Property ID"": [""rec1bhKWibntvwIRn""]}}"
rec26nstxWQS0f7tv,MARK_AS_OLD,4b692316-706c-4ffd-b2e6-2cf09e15e73c@reservations.hospitable.com_recdHtJCJGyjNgztl,recdHtJCJGyjNgztl,2025-07-04,2025-07-07,Reservation,Hospitable,New,2025-07-11T19:10:04.000Z,"{""id"": ""rec26nstxWQS0f7tv"", ""createdTime"": ""2025-07-11T19:10:11.000Z"", ""fields"": {""Check-in Date"": ""2025-07-04"", ""Check-out Date"": ""2025-07-07"", ""Status"": ""New"", ""Last Updated"": ""2025-07-11T19:10:04.000Z"", ""Reservation UID"": ""4b692316-706c-4ffd-b2e6-2cf09e15e73c@reservations.hospitable.com_recdHtJCJGyjNgztl"", ""Entry Type"": ""Reservation"", ""Entry Source"": ""Hospitable"", ""Property ID"": [""recdHtJCJGyjNgztl""]}}"
recxvdqXzsSNEcBwz,MARK_AS_OLD,f3a9ca64-f06f-4f2e-bc4f-bf010083cf3a@reservations.hospitable.com_recrVNJMKAhroDwbp,recrVNJMKAhroDwbp,2025-07-03,2025-07-08,Reservation,Hospitable,New,2025-07-11T19:09:17.000Z,"{""id"": ""recxvdqXzsSNEcBwz"", ""createdTime"": ""2025-07-11T19:09:20.000Z"", ""fields"": {""Check-in Date"": ""2025-07-03"", ""Check-out Date"": ""2025-07-08"", ""Status"": ""New"", ""Last Updated"": ""2025-07-11T19:09:17.000Z"", ""Reservation UID"": ""f3a9ca64-f06f-4f2e-bc4f-bf010083cf3a@reservations.hospitable.com_recrVNJMKAhroDwbp"", ""Entry Type"": ""Reservation"", ""Entry Source"": ""Hospitable"", ""Property ID"": [""recrVNJMKAhroDwbp""]}}"
rec7bQVTrSSUfxKpd,MARK_AS_OLD,84a509ff-e014-45e2-9c06-2fd724ad1775_recemMGn3KhYJW07M,recemMGn3KhYJW07M,2025-05-30,2025-06-01,Block,VRBO,New,2025-06-10T09:08:58.000Z,"{""id"": ""rec7bQVTrSSUfxKpd"", ""createdTime"": ""2025-06-10T09:09:00.000Z"", ""fields"": {""Check-in Date"": ""2025-05-30"", ""Check-out Date"": ""2025-06-01"", ""Status"": ""New"", ""Last Updated"": ""2025-06-10T09:08:58.000Z"", ""Reservation UID"": ""84a509ff-e014-45e2-9c06-2fd724ad1775_recemMGn3KhYJW07M"", ""Entry Type"": ""Block"", ""Entry Source"": ""VRBO"", ""Property ID"": [""recemMGn3KhYJW07M""]}}"
rec2NroHn71B397Dy,MARK_AS_OLD,d2a7cacc-af16-4b1b-ba16-d0e8b7a47d1a_recrVNJMKAhroDwbp,recrVNJMKAhroDwbp,2025-05-15,2025-05-19,Block,VRBO,New,2025-06-10T09:07:41.000Z,"{""id"": ""rec2NroHn71B397Dy"", ""createdTime"": ""2025-06-10T09:07:43.000Z"", ""fields"": {""Check-in Date"": ""2025-05-15"", ""Check-out Date"": ""2025-05-19"", ""Status"": ""New"", ""Last Updated"": ""2025-06-10T09:07:41.000Z"", ""Reservation UID"": ""d2a7cacc-af16-4b1b-ba16-d0e8b7a47d1a_recrVNJMKAhroDwbp"", ""Entry Type"": ""Block"", ""Entry Source"": ""VRBO"", ""Property ID"": [""recrVNJMKAhroDwbp""]}}"
