Action,Property Name,Airtable ID,Check-in,Check-out,Entry Type,UID,Source,Status,Last Updated,Has HCP Job
KEEP,"Pritchett [] 825 W Monterey Pl, Chandler",36232,2025-10-05,2025-10-06,Block,87a93310-0ee9-4376-8248-627485cd03e6_recT9ghx3DPzvxRRS,VRBO,New,Unknown,No
REMOVE,"Pritchett [] 825 W Monterey Pl, Chandler",35376,2025-10-05,2025-10-06,Block,NO_UID,VRBO,Modified,Unknown,No
KEEP,"Pritchett [] 825 W Monterey Pl, Chandler",36231,2025-10-04,2025-10-05,Block,7f82a192-8150-414f-aaea-4dcd4dd2eefb_recT9ghx3DPzvxRRS,VRBO,New,Unknown,No
REMOVE,"Pritchett [] 825 W Monterey Pl, Chandler",35375,2025-10-04,2025-10-05,Block,NO_UID,VRBO,Modified,Unknown,No
KEEP,"Pritchett [] 825 W Monterey Pl, Chandler",36243,2025-10-17,2025-10-18,Block,c7c1b2bf-5c00-4c2d-9da2-50d3cc86a778_recT9ghx3DPzvxRRS,VRBO,New,Unknown,No
REMOVE,"Pritchett [] 825 W Monterey Pl, Chandler",35387,2025-10-17,2025-10-18,Block,NO_UID,VRBO,Modified,Unknown,No
KEEP,"Pritchett [] 825 W Monterey Pl, Chandler",36230,2025-10-03,2025-10-04,Block,795129cc-1393-424a-be90-50f544e712b4_recT9ghx3DPzvxRRS,VRBO,New,Unknown,No
REMOVE,"Pritchett [] 825 W Monterey Pl, Chandler",35374,2025-10-03,2025-10-04,Block,NO_UID,VRBO,Modified,Unknown,No
KEEP,"Pritchett [] 825 W Monterey Pl, Chandler",36236,2025-10-09,2025-10-10,Block,9ca1a531-bf64-43f2-95ad-fb579019ae89_recT9ghx3DPzvxRRS,VRBO,New,Unknown,No
REMOVE,"Pritchett [] 825 W Monterey Pl, Chandler",35380,2025-10-09,2025-10-10,Block,NO_UID,VRBO,Modified,Unknown,No
