Action,Property Name,Airtable ID,Check-in,Check-out,Entry Type,UID,Source,Status,Last Updated,Has HCP Job
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40903,2025-06-13,2025-06-15,Reservation,5d616f56-96b3-4812-a957-e0ad29c20c7d_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:54.000Z,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,42092,2025-06-13,2025-06-15,Reservation,fa69ff6c-d4ad-4491-bb3a-4479caf01b4d_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40904,2025-06-21,2025-06-22,Reservation,b08a0fe3-5c6c-449b-891f-a3623daa5a50_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:54.000Z,Yes
DROP,Mayes [] 2824 N 82nd St Scottsdale,42093,2025-06-21,2025-06-22,Reservation,234414e5-b7fa-4770-97ba-8daff16e62d9_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40900,2025-05-30,2025-06-02,Reservation,e0521cc2-4ff6-4ac8-b173-0904b98f249e_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:53.000Z,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,42089,2025-05-30,2025-06-02,Reservation,30e16db5-4d8b-4bee-b154-8f67271fe763_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40905,2025-06-27,2025-06-28,Reservation,7c6f57ce-e1f5-4d87-93f2-a083e852c174_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:54.000Z,Yes
DROP,Mayes [] 2824 N 82nd St Scottsdale,42094,2025-06-27,2025-06-28,Reservation,84f7dda9-031a-4cc5-8185-90e9f2f75b9c_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40915,2025-07-11,2025-07-13,Reservation,815436a4-3459-4abd-a4e4-eecd1d4f12f3_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:56.000Z,Yes
DROP,Mayes [] 2824 N 82nd St Scottsdale,42099,2025-07-11,2025-07-13,Reservation,41034617-2a3b-4ef4-a4d3-9a48b5aff901_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40913,2025-07-04,2025-07-05,Reservation,600dd7c6-e016-41b2-8796-121738e76c76_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:56.000Z,Yes
DROP,Mayes [] 2824 N 82nd St Scottsdale,42097,2025-07-04,2025-07-05,Reservation,c94c30f2-185d-4a1f-9673-80959aa2e397_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40902,2025-06-08,2025-06-09,Block,a9cf3d0b-0048-46c6-8d31-95ccaf0b80eb_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:53.000Z,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,42091,2025-06-08,2025-06-09,Block,a9791a9e-56a1-4b4f-a22d-049dfc305fcb_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40901,2025-06-07,2025-06-08,Reservation,eee0258b-2fa9-42b5-b585-ace414008408_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:53.000Z,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,42090,2025-06-07,2025-06-08,Reservation,89d1a66b-5c23-4c83-b2e4-452e19286d81_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40914,2025-07-05,2025-07-07,Reservation,34e554cf-37ab-4820-97c0-e1f1de8db2f3_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:56.000Z,Yes
DROP,Mayes [] 2824 N 82nd St Scottsdale,42098,2025-07-05,2025-07-07,Reservation,388b8adb-f775-436e-98bb-25b59d5a850d_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40912,2025-07-03,2025-07-04,Block,071cc26c-543a-4cec-8338-cb29f4e8a8f6_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:56.000Z,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,42096,2025-07-03,2025-07-04,Block,e7ebf97d-6e0a-4683-b842-eeee21f7ab86_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40899,2025-05-22,2025-05-25,Reservation,85671e6d-bc64-4ddc-815f-bdbb477b7002_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:52.000Z,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,42088,2025-05-22,2025-05-25,Reservation,e21e898b-56dc-4a24-a385-c0e54aa64f44_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40911,2025-06-28,2025-06-29,Reservation,1e103f83-8106-4eeb-bb6c-f88841e2fc6d_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:55.000Z,Yes
DROP,Mayes [] 2824 N 82nd St Scottsdale,42095,2025-06-28,2025-06-29,Reservation,8ffd310d-e5ae-4c93-bbb0-365f6cf5034c_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
