Action,Property Name,Airtable ID,Check-in,Check-out,Entry Type,UID,Source,Status,Last Updated,Has HCP Job
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40901,2025-06-07,2025-06-08,Reservation,eee0258b-2fa9-42b5-b585-ace414008408_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:53.000Z,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,43832,2025-06-07,2025-06-08,Reservation,97ccca5c-103b-43fd-b09b-ab9f5a935830_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,43808,2025-06-07,2025-06-08,Reservation,37032e31-bf6c-4626-9012-c830a65b53a0_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,43782,2025-06-07,2025-06-08,Reservation,d98ffa03-3bc8-41d0-844c-f23ade05dfb4_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,43756,2025-06-07,2025-06-08,Reservation,d9d64a3c-ea2d-4d70-af6b-4326ab69c784_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,43733,2025-06-07,2025-06-08,Reservation,58961e56-bb11-4444-9af0-8aa0f96c8403_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,43710,2025-06-07,2025-06-08,Reservation,d46a320d-6453-46a8-b67c-ca2a7528aa9d_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,43684,2025-06-07,2025-06-08,Reservation,ba9d82df-b2d4-4a8e-aad7-82f0b019fb0c_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,43661,2025-06-07,2025-06-08,Reservation,7700b88d-b49e-415c-bf96-45a90541f361_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,43629,2025-06-07,2025-06-08,Reservation,02834462-0489-4a6c-9981-de6cec74d1d7_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
